﻿NAME,TYPE EN,SUBTYPE EN,BLOCK,POINT_X_Longitude,POINT_Y_Latitude,location
AL RIFFAAIN RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,308,50.58580193,26.22804292,"26.22804292, 50.58580193"
AL SABAH PASTRIES,RESTAURANTS,ARABIC RESTAURANTS,812,50.55859678,26.17145625,"26.1714562499999, 50.55859678"
AL ZUHOOR PASTRIES,RESTAURANTS,ARABIC RESTAURANTS,458,50.51021584,26.22896165,"26.2289616499999, 50.51021584"
ALBUNNI GRILLS,RESTAURANTS,ARABIC RESTAURANTS,419,50.54304239,26.21179415,"26.2117941499999, 50.5430423899999"
ALEXANDRIA GRILLS,RESTAURANTS,ARABIC RESTAURANTS,308,50.58827344,26.22690207,"26.22690207, 50.58827344"
ALMNHENH BAHRAINI FOOD RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,925,50.57255598,26.12922236,"26.12922236, 50.5725559799999"
ALSAHA RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,814,50.55935086,26.17162605,"26.17162605, 50.55935086"
BADAWI RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,318,50.59301181,26.23429662,"26.2342966199999, 50.59301181"
BAIT ALGHOZI RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,226,50.60980721,26.27066574,"26.2706657399999, 50.60980721"
BAN AL SUBUH RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,504,50.49360909,26.21917601,"26.21917601, 50.49360909"
BASTA 23,RESTAURANTS,ARABIC RESTAURANTS,999,50.61428324,25.83359495,"25.8335949499999, 50.6142832399999"
DAR BU SALEH RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,913,50.55946461,26.13140879,"26.1314087899999, 50.5594646099999"
ESTIKANA RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,324,50.60835633,26.21724556,"26.2172455599999, 50.6083563299999"
FAROOHA PASTRIES & SHAWARMA,RESTAURANTS,ARABIC RESTAURANTS,210,50.61678669,26.2490376,"26.2490376, 50.6167866899999"
GOLDEN DOUCH,RESTAURANTS,ARABIC RESTAURANTS,504,50.49691188,26.21979615,"26.21979615, 50.4969118799999"
HIGH WAY RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,243,50.64908596,26.25613204,"26.25613204, 50.64908596"
HOWA PASTRIES,RESTAURANTS,ARABIC RESTAURANTS,406,50.54281735,26.22162217,"26.22162217, 50.54281735"
